stock_code,cluster,method,tag,score,dim,value,rank_in_group
002513.SZ,,latent_extreme,z6_top,4.9756746,z6,4.9756746,10
603268.SH,,latent_extreme,z7_bottom,-29.946764,z7,-29.946764,1
302132.SZ,,latent_extreme,z7_bottom,-9.751645,z7,-9.751645,2
000595.SZ,,latent_extreme,z7_bottom,-2.3330107,z7,-2.3330107,3
600753.SH,,latent_extreme,z7_bottom,-0.42614633,z7,-0.42614633,4
600661.SH,,latent_extreme,z7_bottom,0.4805355,z7,0.4805355,5
600115.SH,,latent_extreme,z7_bottom,0.53400445,z7,0.53400445,6
002052.SZ,,latent_extreme,z7_bottom,0.58701396,z7,0.58701396,7
002493.SZ,,latent_extreme,z7_bottom,0.65948457,z7,0.65948457,8
688132.SH,,latent_extreme,z7_bottom,0.6900933,z7,0.6900933,9
600281.SH,,latent_extreme,z7_bottom,0.7723165,z7,0.7723165,10
002670.SZ,,latent_extreme,z7_top,132.31767,z7,132.31767,1
000695.SZ,,latent_extreme,z7_top,71.96434,z7,71.96434,2
920092.BJ,,latent_extreme,z7_top,48.104164,z7,48.104164,3
601061.SH,,latent_extreme,z7_top,47.832294,z7,47.832294,4
603021.SH,,latent_extreme,z7_top,43.01414,z7,43.01414,5
002862.SZ,,latent_extreme,z7_top,40.822853,z7,40.822853,6
002069.SZ,,latent_extreme,z7_top,39.008965,z7,39.008965,7
000692.SZ,,latent_extreme,z7_top,37.447334,z7,37.447334,8
002313.SZ,,latent_extreme,z7_top,37.38565,z7,37.38565,9
600519.SH,,latent_extreme,z7_top,33.532467,z7,33.532467,10
601061.SH,,latent_extreme,z8_bottom,-59.534985,z8,-59.534985,1
000813.SZ,,latent_extreme,z8_bottom,-24.211697,z8,-24.211697,2
920092.BJ,,latent_extreme,z8_bottom,-9.969684,z8,-9.969684,3
603268.SH,,latent_extreme,z8_bottom,-9.285036,z8,-9.285036,4
688115.SH,,latent_extreme,z8_bottom,-6.5591455,z8,-6.5591455,5
300958.SZ,,latent_extreme,z8_bottom,-5.212013,z8,-5.212013,6
