stock_code,cluster,method,tag,score,dim,value,rank_in_group,tags
000813.SZ,,latent_extreme,z5_top,29.88634,z5,29.88634,3,cluster_6_rep|z2_bottom|z4_top|z5_top|z8_bottom
000813.SZ,,latent_extreme,z8_bottom,-24.211697,z8,-24.211697,2,cluster_6_rep|z2_bottom|z4_top|z5_top|z8_bottom
000906.SZ,,latent_extreme,z4_top,21.553043,z4,21.553043,8,z4_top
000959.SZ,,latent_extreme,z2_top,2.6356494,z2,2.6356494,2,z2_top
000972.SZ,,latent_extreme,z1_bottom,1.444165,z1,1.444165,5,z1_bottom
000980.SZ,,latent_extreme,z4_bottom,-7.357362,z4,-7.357362,8,z4_bottom|z6_top|z8_top
000980.SZ,,latent_extreme,z6_top,9.349008,z6,9.349008,5,z4_bottom|z6_top|z8_top
000980.SZ,,latent_extreme,z8_top,13.428954,z8,13.428954,7,z4_bottom|z6_top|z8_top
001270.SZ,,latent_extreme,z1_bottom,1.2299662,z1,1.2299662,1,z1_bottom
001298.SZ,,latent_extreme,z8_bottom,-3.3303134,z8,-3.3303134,9,z8_bottom
002052.SZ,,latent_extreme,z2_top,-0.6821746,z2,-0.6821746,8,z2_top|z7_bottom
002052.SZ,,latent_extreme,z7_bottom,0.58701396,z7,0.58701396,7,z2_top|z7_bottom
002055.SZ,,latent_extreme,z3_bottom,0.84861815,z3,0.84861815,10,z3_bottom
002069.SZ,,latent_extreme,z1_top,120.755455,z1,120.755455,1,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
002069.SZ,,latent_extreme,z2_bottom,-71.288605,z2,-71.288605,9,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
002069.SZ,,latent_extreme,z3_top,67.954254,z3,67.954254,3,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
002069.SZ,,latent_extreme,z4_bottom,-5.724586,z4,-5.724586,10,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
002069.SZ,,latent_extreme,z5_bottom,-105.56431,z5,-105.56431,3,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
002069.SZ,,latent_extreme,z7_top,39.008965,z7,39.008965,7,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
002069.SZ,,latent_extreme,z8_top,59.106953,z8,59.106953,1,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
002196.SZ,,latent_extreme,z5_bottom,-75.46886,z5,-75.46886,4,z5_bottom|z6_bottom|z8_top
002196.SZ,,latent_extreme,z6_bottom,-20.970968,z6,-20.970968,6,z5_bottom|z6_bottom|z8_top
002196.SZ,,latent_extreme,z8_top,12.327133,z8,12.327133,10,z5_bottom|z6_bottom|z8_top
002198.SZ,,latent_extreme,z1_bottom,1.6003081,z1,1.6003081,8,z1_bottom
002313.SZ,,latent_extreme,z4_bottom,-14.308831,z4,-14.308831,3,z4_bottom|z6_top|z7_top|z8_top
